"Plot Title: Pheasant Branch 2m"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 21483250, SEN S/N: 21483250)","Temp, °C (LGR S/N: 21483250, SEN S/N: 21483250)","Coupler Detached (LGR S/N: 21483250)","Coupler Attached (LGR S/N: 21483250)","Host Connected (LGR S/N: 21483250)","Stopped (LGR S/N: 21483250)","End Of File (LGR S/N: 21483250)"
1,06/12/23 05:00:00 PM,528.4,20.95,Logged,,,,
2,06/12/23 05:30:00 PM,526.6,20.77,,,,,
3,06/12/23 06:00:00 PM,521.3,20.25,,,,,
4,06/12/23 06:30:00 PM,514.9,19.72,,,,,
5,06/12/23 07:00:00 PM,510.7,19.34,,,,,
6,06/12/23 07:30:00 PM,509.2,19.18,,,,,
7,06/12/23 08:00:00 PM,500.2,18.30,,,,,
8,06/12/23 08:30:00 PM,491.1,17.55,,,,,
9,06/12/23 09:00:00 PM,482.5,16.59,,,,,
10,06/12/23 09:30:00 PM,478.7,16.18,,,,,
11,06/12/23 10:00:00 PM,479.9,16.20,,,,,
12,06/12/23 10:30:00 PM,491.3,17.10,,,,,
13,06/12/23 11:00:00 PM,493.5,17.39,,,,,
14,06/12/23 11:30:00 PM,493.1,17.37,,,,,
15,06/13/23 12:00:00 AM,495.0,17.55,,,,,
16,06/13/23 12:30:00 AM,490.8,17.30,,,,,
17,06/13/23 01:00:00 AM,494.6,17.66,,,,,
18,06/13/23 01:30:00 AM,491.5,17.41,,,,,
19,06/13/23 02:00:00 AM,487.7,17.15,,,,,
20,06/13/23 02:30:00 AM,483.9,16.82,,,,,
21,06/13/23 03:00:00 AM,478.3,16.20,,,,,
22,06/13/23 03:30:00 AM,475.6,15.97,,,,,
23,06/13/23 04:00:00 AM,481.7,16.50,,,,,
24,06/13/23 04:30:00 AM,484.4,16.62,,,,,
25,06/13/23 05:00:00 AM,484.1,16.49,,,,,
26,06/13/23 05:30:00 AM,484.7,16.88,,,,,
27,06/13/23 06:00:00 AM,489.6,17.36,,,,,
28,06/13/23 06:30:00 AM,492.2,17.60,,,,,
29,06/13/23 07:00:00 AM,496.0,17.99,,,,,
30,06/13/23 07:30:00 AM,500.2,18.30,,,,,
31,06/13/23 08:00:00 AM,502.0,18.53,,,,,
32,06/13/23 08:30:00 AM,506.2,18.91,,,,,
33,06/13/23 09:00:00 AM,506.2,18.97,,,,,
34,06/13/23 09:30:00 AM,505.8,18.93,,,,,
35,06/13/23 10:00:00 AM,503.9,18.73,,,,,
36,06/13/23 10:30:00 AM,503.6,18.67,,,,,
37,06/13/23 11:00:00 AM,503.9,18.70,,,,,
38,06/13/23 11:30:00 AM,503.1,18.69,,,,,
39,06/13/23 12:00:00 PM,502.4,18.60,,,,,
40,06/13/23 12:30:00 PM,501.7,18.51,,,,,
41,06/13/23 01:00:00 PM,501.3,18.45,,,,,
42,06/13/23 01:30:00 PM,501.3,18.49,,,,,
43,06/13/23 02:00:00 PM,502.4,18.62,,,,,
44,06/13/23 02:30:00 PM,502.4,18.62,,,,,
45,06/13/23 03:00:00 PM,502.0,18.59,,,,,
46,06/13/23 03:30:00 PM,502.0,18.56,,,,,
47,06/13/23 04:00:00 PM,501.6,18.53,,,,,
48,06/13/23 04:30:00 PM,498.6,18.26,,,,,
49,06/13/23 05:00:00 PM,485.8,16.97,,,,,
50,06/13/23 05:30:00 PM,485.1,16.90,,,,,
51,06/13/23 06:00:00 PM,486.6,17.02,,,,,
52,06/13/23 06:30:00 PM,487.3,17.16,,,,,
53,06/13/23 07:00:00 PM,483.2,16.74,,,,,
54,06/13/23 07:30:00 PM,478.6,16.30,,,,,
55,06/13/23 08:00:00 PM,480.2,16.43,,,,,
56,06/13/23 08:30:00 PM,478.3,16.24,,,,,
57,06/13/23 09:00:00 PM,477.5,16.15,,,,,
58,06/13/23 09:30:00 PM,476.4,16.04,,,,,
59,06/13/23 10:00:00 PM,476.4,16.03,,,,,
60,06/13/23 10:30:00 PM,475.6,15.97,,,,,
61,06/13/23 11:00:00 PM,485.1,16.85,,,,,
62,06/13/23 11:30:00 PM,487.7,17.13,,,,,
63,06/14/23 12:00:00 AM,488.9,17.24,,,,,
64,06/14/23 12:30:00 AM,492.2,17.64,,,,,
65,06/14/23 01:00:00 AM,493.4,17.69,,,,,
66,06/14/23 01:30:00 AM,492.6,17.67,,,,,
67,06/14/23 02:00:00 AM,492.2,17.61,,,,,
68,06/14/23 02:30:00 AM,491.9,17.55,,,,,
69,06/14/23 03:00:00 AM,491.1,17.52,,,,,
70,06/14/23 03:30:00 AM,491.5,17.53,,,,,
71,06/14/23 04:00:00 AM,499.0,18.32,,,,,
72,06/14/23 04:30:00 AM,502.0,18.64,,,,,
73,06/14/23 05:00:00 AM,506.1,19.01,,,,,
74,06/14/23 05:30:00 AM,506.5,19.04,,,,,
75,06/14/23 06:00:00 AM,507.7,19.10,,,,,
76,06/14/23 06:30:00 AM,507.7,19.14,,,,,
77,06/14/23 07:00:00 AM,508.4,19.18,,,,,
78,06/14/23 07:30:00 AM,508.4,19.19,,,,,
79,06/14/23 08:00:00 AM,508.4,19.21,,,,,
80,06/14/23 08:30:00 AM,508.8,19.27,,,,,
81,06/14/23 09:00:00 AM,508.8,19.24,,,,,
82,06/14/23 09:30:00 AM,508.4,19.23,,,,,
83,06/14/23 10:00:00 AM,507.6,19.19,,,,,
84,06/14/23 10:30:00 AM,508.4,19.29,,,,,
85,06/14/23 11:00:00 AM,508.8,19.30,,,,,
86,06/14/23 11:30:00 AM,508.0,19.28,,,,,
87,06/14/23 12:00:00 PM,508.8,19.30,,,,,
