"Plot Title: Mendota Deephole 15m"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 21483255, SEN S/N: 21483255)","Temp, °C (LGR S/N: 21483255, SEN S/N: 21483255)","Coupler Detached (LGR S/N: 21483255)","Coupler Attached (LGR S/N: 21483255)","Host Connected (LGR S/N: 21483255)","End Of File (LGR S/N: 21483255)"
1,06/14/23 11:00:00 AM,400.2,8.82,Logged,,,
2,06/14/23 11:30:00 AM,403.7,9.13,,,,
3,06/14/23 12:00:00 PM,401.0,8.87,,,,
4,06/14/23 12:30:00 PM,402.5,9.02,,,,
5,06/14/23 01:00:00 PM,400.2,8.80,,,,
6,06/14/23 01:30:00 PM,399.5,8.65,,,,
7,06/14/23 02:00:00 PM,399.5,8.64,,,,
8,06/14/23 02:30:00 PM,399.4,8.75,,,,
9,06/14/23 03:00:00 PM,399.4,8.66,,,,
10,06/14/23 03:30:00 PM,400.6,8.82,,,,
11,06/14/23 04:00:00 PM,402.9,9.09,,,,
12,06/14/23 04:30:00 PM,402.9,9.12,,,,
13,06/14/23 05:00:00 PM,403.6,9.18,,,,
14,06/14/23 05:30:00 PM,404.4,9.19,,,,
15,06/14/23 06:00:00 PM,403.7,9.15,,,,
16,06/14/23 06:30:00 PM,405.2,9.31,,,,
17,06/14/23 07:00:00 PM,407.5,9.50,,,,
18,06/14/23 07:30:00 PM,406.0,9.37,,,,
19,06/14/23 08:00:00 PM,405.6,9.35,,,,
20,06/14/23 08:30:00 PM,406.7,9.45,,,,
21,06/14/23 09:00:00 PM,405.6,9.32,,,,
22,06/14/23 09:30:00 PM,406.4,9.37,,,,
23,06/14/23 10:00:00 PM,405.6,9.30,,,,
24,06/14/23 10:30:00 PM,406.0,9.34,,,,
25,06/14/23 11:00:00 PM,406.0,9.35,,,,
26,06/14/23 11:30:00 PM,402.5,8.96,,,,
27,06/15/23 12:00:00 AM,401.3,8.92,,,,
28,06/15/23 12:30:00 AM,403.7,9.13,,,,
29,06/15/23 01:00:00 AM,405.6,9.28,,,,
30,06/15/23 01:30:00 AM,404.8,9.26,,,,
31,06/15/23 02:00:00 AM,405.6,9.32,,,,
32,06/15/23 02:30:00 AM,404.5,9.17,,,,
33,06/15/23 03:00:00 AM,403.7,9.14,,,,
34,06/15/23 03:30:00 AM,404.0,9.18,,,,
35,06/15/23 04:00:00 AM,403.7,9.14,,,,
36,06/15/23 04:30:00 AM,404.1,9.14,,,,
37,06/15/23 05:00:00 AM,403.7,9.15,,,,
38,06/15/23 05:30:00 AM,406.0,9.35,,,,
39,06/15/23 06:00:00 AM,404.4,9.18,,,,
40,06/15/23 06:30:00 AM,403.3,9.13,,,,
41,06/15/23 07:00:00 AM,404.4,9.18,,,,
42,06/15/23 07:30:00 AM,402.9,9.08,,,,
43,06/15/23 08:00:00 AM,401.7,8.95,,,,
44,06/15/23 08:30:00 AM,401.7,8.96,,,,
45,06/15/23 09:00:00 AM,403.7,9.15,,,,
46,06/15/23 09:30:00 AM,401.3,8.93,,,,
47,06/15/23 10:00:00 AM,401.4,8.91,,,,
48,06/15/23 10:30:00 AM,401.0,8.83,,,,
49,06/15/23 11:00:00 AM,402.9,9.09,,,,
50,06/15/23 11:30:00 AM,405.2,9.31,,,,
51,06/15/23 12:00:00 PM,403.3,9.08,,,,
52,06/15/23 12:30:00 PM,400.2,8.79,,,,
53,06/15/23 01:00:00 PM,401.0,8.83,,,,
54,06/15/23 01:30:00 PM,401.0,8.80,,,,
55,06/15/23 02:00:00 PM,400.6,8.74,,,,
56,06/15/23 02:30:00 PM,400.6,8.74,,,,
57,06/15/23 03:00:00 PM,401.0,8.80,,,,
58,06/15/23 03:30:00 PM,400.6,8.79,,,,
59,06/15/23 04:00:00 PM,400.2,8.74,,,,
60,06/15/23 04:30:00 PM,404.1,9.12,,,,
61,06/15/23 05:00:00 PM,405.2,9.24,,,,
62,06/15/23 05:30:00 PM,404.8,9.26,,,,
63,06/15/23 06:00:00 PM,404.9,9.15,,,,
64,06/15/23 06:30:00 PM,400.6,8.82,,,,
65,06/15/23 07:00:00 PM,403.7,9.09,,,,
66,06/15/23 07:30:00 PM,406.8,9.40,,,,
67,06/15/23 08:00:00 PM,406.8,9.40,,,,
68,06/15/23 08:30:00 PM,404.8,9.26,,,,
69,06/15/23 09:00:00 PM,402.5,8.93,,,,
70,06/15/23 09:30:00 PM,402.5,8.97,,,,
71,06/15/23 10:00:00 PM,402.9,8.95,,,,
72,06/15/23 10:30:00 PM,401.0,8.80,,,,
73,06/15/23 11:00:00 PM,401.4,8.84,,,,
74,06/15/23 11:30:00 PM,401.0,8.78,,,,
75,06/16/23 12:00:00 AM,399.5,8.64,,,,
76,06/16/23 12:30:00 AM,399.5,8.65,,,,
77,06/16/23 01:00:00 AM,400.6,8.73,,,,
78,06/16/23 01:30:00 AM,400.6,8.75,,,,
79,06/16/23 02:00:00 AM,403.3,9.06,,,,
80,06/16/23 02:30:00 AM,404.8,9.24,,,,
81,06/16/23 03:00:00 AM,405.6,9.27,,,,
82,06/16/23 03:30:00 AM,405.2,9.24,,,,
83,06/16/23 04:00:00 AM,405.2,9.23,,,,
84,06/16/23 04:30:00 AM,404.1,9.13,,,,
85,06/16/23 05:00:00 AM,404.1,9.09,,,,
86,06/16/23 05:30:00 AM,404.8,9.19,,,,
87,06/16/23 06:00:00 AM,405.6,9.27,,,,
88,06/16/23 06:30:00 AM,404.8,9.21,,,,
89,06/16/23 07:00:00 AM,402.9,8.96,,,,
90,06/16/23 07:30:00 AM,401.4,8.86,,,,
91,06/16/23 08:00:00 AM,402.5,8.95,,,,
92,06/16/23 08:30:00 AM,402.5,8.93,,,,
93,06/16/23 09:00:00 AM,405.6,9.24,,,,
94,06/16/23 09:30:00 AM,406.0,9.32,,,,
95,06/16/23 10:00:00 AM,404.9,9.14,,,,
96,06/16/23 10:30:00 AM,404.9,9.15,,,,
97,06/16/23 11:00:00 AM,407.5,9.45,,,,
98,06/16/23 11:30:00 AM,409.1,9.62,,,,
99,06/16/23 12:00:00 PM,408.3,9.56,,,,
100,06/16/23 12:30:00 PM,409.1,9.62,,,,
101,06/16/23 01:00:00 PM,408.3,9.57,,,,
102,06/16/23 01:30:00 PM,408.3,9.56,,,,
103,06/16/23 02:00:00 PM,405.6,9.26,,,,
104,06/16/23 02:30:00 PM,404.1,9.09,,,,
105,06/16/23 03:00:00 PM,401.0,8.74,,,,
106,06/16/23 03:30:00 PM,401.4,8.83,,,,
107,06/16/23 04:00:00 PM,401.8,8.91,,,,
108,06/16/23 04:30:00 PM,401.4,8.83,,,,
109,06/16/23 05:00:00 PM,401.4,8.84,,,,
110,06/16/23 05:30:00 PM,401.0,8.82,,,,
111,06/16/23 06:00:00 PM,399.9,8.62,,,,
112,06/16/23 06:30:00 PM,399.9,8.65,,,,
