"Plot Title: Mendota Deephole 2m"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 21483259, SEN S/N: 21483259)","Temp, °C (LGR S/N: 21483259, SEN S/N: 21483259)","Coupler Detached (LGR S/N: 21483259)","Coupler Attached (LGR S/N: 21483259)","Host Connected (LGR S/N: 21483259)","End Of File (LGR S/N: 21483259)"
1,06/14/23 11:00:00 AM,509.7,19.59,Logged,,,
2,06/14/23 11:30:00 AM,510.1,19.61,,,,
3,06/14/23 12:00:00 PM,509.7,19.59,,,,
4,06/14/23 12:30:00 PM,510.1,19.67,,,,
5,06/14/23 01:00:00 PM,510.0,19.68,,,,
6,06/14/23 01:30:00 PM,510.0,19.68,,,,
7,06/14/23 02:00:00 PM,510.4,19.76,,,,
8,06/14/23 02:30:00 PM,511.2,19.80,,,,
9,06/14/23 03:00:00 PM,510.8,19.77,,,,
10,06/14/23 03:30:00 PM,511.6,19.85,,,,
11,06/14/23 04:00:00 PM,511.6,19.85,,,,
12,06/14/23 04:30:00 PM,510.4,19.76,,,,
13,06/14/23 05:00:00 PM,510.4,19.75,,,,
14,06/14/23 05:30:00 PM,510.8,19.78,,,,
15,06/14/23 06:00:00 PM,510.8,19.77,,,,
16,06/14/23 06:30:00 PM,510.0,19.71,,,,
17,06/14/23 07:00:00 PM,518.6,19.67,,,,
18,06/14/23 07:30:00 PM,510.4,19.69,,,,
19,06/14/23 08:00:00 PM,511.5,19.89,,,,
20,06/14/23 08:30:00 PM,510.4,19.76,,,,
21,06/14/23 09:00:00 PM,511.2,19.80,,,,
22,06/14/23 09:30:00 PM,512.7,19.98,,,,
23,06/14/23 10:00:00 PM,516.2,20.25,,,,
24,06/14/23 10:30:00 PM,518.2,20.38,,,,
25,06/14/23 11:00:00 PM,518.2,20.30,,,,
26,06/14/23 11:30:00 PM,518.2,20.36,,,,
27,06/15/23 12:00:00 AM,518.6,20.40,,,,
28,06/15/23 12:30:00 AM,517.4,20.27,,,,
29,06/15/23 01:00:00 AM,517.0,20.25,,,,
30,06/15/23 01:30:00 AM,517.8,20.31,,,,
